Ticket ID,Date Submitted,Employee ID,Issue Description,Category,Region,Severity,SLA Target,Assigned To,Escalation Rule,Estimated Impact (USD),Status,Resolution Time (hrs)
TK-1041,2024-05-01,EMP-0200,Salary not received,Salary,DE,Critical,4 hours,Sr. Payroll Analyst,Immediate — Ops Lead alerted,13476,At Risk,
TK-1042,2024-05-01,EMP-0201,Incorrect tax code,Tax,UK,Critical,4 hours,Sr. Payroll Analyst,Immediate — Ops Lead alerted,7012,SLA Breach,
TK-1043,2024-05-01,EMP-0202,Bank details not updated,Bank,US,Critical,4 hours,Sr. Payroll Analyst,Immediate — Ops Lead alerted,14087,SLA Breach,
TK-1044,2024-05-02,EMP-0203,Sick pay not applied,Hours,SG,Critical,4 hours,Sr. Payroll Analyst,Immediate — Ops Lead alerted,9912,At Risk,
TK-1045,2024-05-02,EMP-0204,Reimbursement paid to wrong account,Reimbursement,BR,Critical,4 hours,Sr. Payroll Analyst,Immediate — Ops Lead alerted,6582,At Risk,
TK-1046,2024-05-02,EMP-0205,Duplicate payment issued,Salary,FR,Critical,4 hours,Sr. Payroll Analyst,Immediate — Ops Lead alerted,3434,SLA Breach,
TK-1047,2024-05-03,EMP-0206,Benefits-in-kind not reported,Tax,AU,Critical,4 hours,Sr. Payroll Analyst,Immediate — Ops Lead alerted,9873,At Risk,
TK-1048,2024-05-03,EMP-0207,Payment returned by beneficiary bank,Bank,JP,Critical,4 hours,Sr. Payroll Analyst,Immediate — Ops Lead alerted,7557,At Risk,
TK-1049,2024-05-03,EMP-0208,Overtime hours not included,Hours,NL,High,1 business day,Payroll Analyst,If unassigned after 2h,2231,At Risk,
TK-1050,2024-05-04,EMP-0209,Reimbursement paid to wrong account,Reimbursement,CA,High,1 business day,Payroll Analyst,If unassigned after 2h,1381,On Track,14
TK-1051,2024-05-04,EMP-0210,Salary not received,Salary,IN,High,1 business day,Payroll Analyst,If unassigned after 2h,2056,On Track,45
TK-1052,2024-05-04,EMP-0211,Incorrect tax code,Tax,MX,High,1 business day,Payroll Analyst,If unassigned after 2h,1583,At Risk,
